feedback_id,customer_id,date,feedback,category
FB-0064,CUST-0065,2024-04-03,"The monitor exceeded my expectations, crisp display and great value.",positive
FB-0065,CUST-0081,2024-01-09,"Fast delivery and well packaged, very satisfied with the purchase.",positive
FB-0066,CUST-0085,2024-07-10,"Love the office chair, very comfortable for long work hours.",positive
FB-0067,CUST-0026,2024-09-27,Extremely disappointed — delivery was supposed to be 3 days but took 2 weeks.,delivery_complaint
FB-0068,CUST-0041,2024-11-01,"Average experience overall, delivery was on time though.",neutral
FB-0069,CUST-0018,2024-01-03,"The keyboard stopped working within a week of purchase, poor build quality.",product_complaint
FB-0070,CUST-0079,2024-01-12,"Great customer support, they resolved my issue within minutes.",positive
FB-0071,CUST-0051,2024-08-25,The shipment got stuck at the local hub for days before finally being delivered.,delivery_complaint
FB-0072,CUST-0033,2024-04-11,The fabric on the hoodie started fraying after just two washes.,product_complaint
FB-0073,CUST-0027,2024-01-03,"Really happy with the standing desk, sturdy and easy to assemble.",positive
FB-0074,CUST-0114,2024-09-03,"It's fine for the price, wouldn't call it premium quality.",neutral
FB-0075,CUST-0058,2024-03-13,"The monitor exceeded my expectations, crisp display and great value.",positive
FB-0076,CUST-0119,2024-03-06,"The keyboard stopped working within a week of purchase, poor build quality.",product_complaint
FB-0077,CUST-0039,2024-05-29,"The product is okay, does what it says but nothing special.",neutral
FB-0078,CUST-0026,2024-08-09,"Delivery was delayed by 10 days, very frustrating experience with no communication.",delivery_complaint
FB-0079,CUST-0086,2024-01-09,"Really happy with the standing desk, sturdy and easy to assemble.",positive
FB-0080,CUST-0110,2024-05-18,My order arrived over a week late and there was no update on tracking.,delivery_complaint
FB-0081,CUST-0020,2024-01-15,The shipment got stuck at the local hub for days before finally being delivered.,delivery_complaint
FB-0082,CUST-0104,2024-05-21,"Great customer support, they resolved my issue within minutes.",positive
FB-0083,CUST-0071,2024-02-02,"The keyboard stopped working within a week of purchase, poor build quality.",product_complaint
FB-0084,CUST-0109,2024-11-11,"It's fine for the price, wouldn't call it premium quality.",neutral
FB-0085,CUST-0114,2024-09-28,The shipment got stuck at the local hub for days before finally being delivered.,delivery_complaint
FB-0086,CUST-0052,2024-04-08,The shipment got stuck at the local hub for days before finally being delivered.,delivery_complaint
FB-0087,CUST-0113,2024-06-29,"The product is okay, does what it says but nothing special.",neutral
FB-0088,CUST-0022,2024-07-06,"The package took forever to arrive, courier kept postponing the delivery date.",delivery_complaint
FB-0089,CUST-0054,2024-02-09,"Really happy with the standing desk, sturdy and easy to assemble.",positive
FB-0090,CUST-0054,2024-01-11,"Excellent product quality and fast shipping, will definitely order again!",positive
FB-0091,CUST-0030,2024-11-17,"It's fine for the price, wouldn't call it premium quality.",neutral
FB-0092,CUST-0059,2024-04-05,"Average experience overall, delivery was on time though.",neutral
FB-0093,CUST-0091,2024-08-28,"Excellent product quality and fast shipping, will definitely order again!",positive
FB-0094,CUST-0014,2024-01-09,"Great customer support, they resolved my issue within minutes.",positive
FB-0095,CUST-0058,2024-06-17,"Not satisfied with the chair, it wobbles and the armrest is loose.",product_complaint
FB-0096,CUST-0064,2024-08-23,"The monitor exceeded my expectations, crisp display and great value.",positive
FB-0097,CUST-0024,2024-08-21,"Delivery was delayed by 10 days, very frustrating experience with no communication.",delivery_complaint
FB-0098,CUST-0078,2024-04-28,"It's fine for the price, wouldn't call it premium quality.",neutral
FB-0099,CUST-0031,2024-10-20,"The package took forever to arrive, courier kept postponing the delivery date.",delivery_complaint
FB-0100,CUST-0069,2024-09-14,"The product is okay, does what it says but nothing special.",neutral
FB-0101,CUST-0069,2024-06-20,"Product arrived damaged, the monitor screen had a crack on delivery.",product_complaint
FB-0102,CUST-0090,2024-01-29,"Product arrived damaged, the monitor screen had a crack on delivery.",product_complaint
FB-0103,CUST-0113,2024-09-18,"Love the office chair, very comfortable for long work hours.",positive
FB-0104,CUST-0112,2024-02-26,Extremely disappointed — delivery was supposed to be 3 days but took 2 weeks.,delivery_complaint
FB-0105,CUST-0061,2024-07-08,"The package took forever to arrive, courier kept postponing the delivery date.",delivery_complaint
FB-0106,CUST-0032,2024-08-30,"Fast delivery and well packaged, very satisfied with the purchase.",positive
FB-0107,CUST-0030,2024-08-16,"Late delivery again for the third time this month, please fix your logistics.",delivery_complaint
FB-0108,CUST-0095,2024-11-13,"The monitor exceeded my expectations, crisp display and great value.",positive
FB-0109,CUST-0092,2024-06-18,"Excellent product quality and fast shipping, will definitely order again!",positive
FB-0110,CUST-0096,2024-07-24,"Not satisfied with the chair, it wobbles and the armrest is loose.",product_complaint
FB-0111,CUST-0101,2024-09-07,"The product is okay, does what it says but nothing special.",neutral
FB-0112,CUST-0068,2024-08-20,The shipment got stuck at the local hub for days before finally being delivered.,delivery_complaint
FB-0113,CUST-0108,2024-12-31,"Delivery was delayed by 10 days, very frustrating experience with no communication.",delivery_complaint
FB-0114,CUST-0079,2024-01-05,"Late delivery again for the third time this month, please fix your logistics.",delivery_complaint
